City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Krasnyye Baki,0,RU,1554195600,75,57.131,45.1599,40.84,4.16
Albany,0,US,1554195600,56,42.6512,-73.755,20.73,4.05
Busselton,0,AU,1554195600,83,-33.6445,115.3489,76.93,13.22
Kavieng,56,PG,1554195600,96,-2.5745,150.7967,85.21,8.97
Narsaq,100,GL,1554195600,90,60.9127,-46.0453,32.56,14
Khatanga,92,RU,1554195600,93,71.9801,102.4743,26.08,15.12
Jeremie,0,HT,1554195600,97,18.65,-74.1167,75.58,7.74
Butaritari,100,KI,1554195600,98,3.0707,172.7902,84.58,10.42
Bluff,36,AU,1554195600,41,-23.58,149.0661,79.54,10.42
Byron Bay,88,AU,1554195600,100,-28.65,153.6167,70.26,11.43
Golyshmanovo,0,RU,1554195600,96,56.3979,68.3728,35.53,6.4
Isla Mujeres,0,MX,1554195600,99,21.2311,-86.7311,74.91,3.83
Portland,92,US,1554195600,76,45.5202,-122.6742,52.25,1.81
Vaini,0,IN,1554195600,29,15.336,74.4926,109.06,5.61
Jamestown,0,AU,1554195600,57,-33.2075,138.6035,64.42,1.03
Punta Arenas,8,CL,1554195600,89,-53.1627,-70.9081,49.42,25.19
Sorland,80,NO,1554195600,95,67.667,12.6934,40.74,26.08
Puerto Ayora,76,EC,1554195600,100,-0.7394,-90.3518,77.47,2.26
Port Macquarie,88,AU,1554195600,84,-31.43,152.9104,71.07,8.52
Neuquen,0,AR,1554195600,50,-38.9517,-68.0591,70.56,15.23
Solnechnyy,56,RU,1554195600,69,50.7238,136.6401,29.59,3.15
Ushuaia,76,AR,1554195600,100,-54.807,-68.3074,47.32,4.61
Diamantino,8,BR,1554195600,91,-14.4037,-56.4365,72.07,3.6
Mehamn,80,NO,1554195600,88,71.035,27.8517,32.36,13.67
Bedesa,0,ET,1554195600,30,8.9,40.7833,82.78,4.38
Oum Hadjer,0,TD,1554195600,21,13.2954,19.6966,94.39,11.43
Lakes Entrance,36,AU,1554195600,86,-37.8795,147.9944,65.41,7.18
Avera,92,US,1554195600,89,33.194,-82.5271,45.21,5.84
Mataura,76,NZ,1554195600,69,-46.1928,168.8643,49.83,4.94
Esperance,92,TT,1554195600,84,10.2447,-61.4506,76.2,5.73
Formosa do Rio Preto,76,BR,1554195600,93,-11.0415,-45.1904,68.38,4.61
Bredasdorp,36,ZA,1554195600,84,-34.5331,20.0428,67.44,19.04
